TEXT	SONNET NUMBER	LINE
Why lov'st thou that which thou receiv'st not gladly	8	3
Or else receiv'st with pleasure thine annoy	8	4
If the true concord of well-tuned sounds	8	5
By unions married do offend thine ear	8	6
They do but sweetly chide thee who confounds	8	7
In singleness the parts that thou shouldst bear	8	8
Mark how one string sweet husband to another	8	9
Strikes each in each by mutual ordering	8	10
Resembling sire and child and happy mother	8	11
Who all in one one pleasing note do sing	8	12
Whose speechless song being many seeming one	8	13
Sings this to thee Thou single wilt prove none	8	14
Is it for fear to wet a widow's eye	9	1
That thou consum'st thy self in single life	9	2
Ah if thou issueless shalt hap to die	9	3
The world will wail thee like a makeless wife	9	4
The world will be thy widow and still weep	9	5
That thou no form of thee hast left behind	9	6
When every private widow well may keep	9	7
By children's eyes her husband's shape in mind	9	8
Look what an unthrift in the world doth spend	9	9
Shifts but his place for still the world enjoys it	9	10
But beauty's waste hath in the world an end	9	11
And kept unused the user so destroys it	9	12
No love toward others in that bosom sits	9	13
That on himself such murd'rous shame commits	9	14
For shame deny that thou bear'st love to any	10	1
Who for thy self art so unprovident	10	2
Grant if thou wilt thou art belov'd of many	10	3
But that thou none lov'st is most evident	10	4
For thou art so possess'd with murderous hate	10	5
That gainst thy self thou stick'st not to conspire	10	6
Seeking that beauteous roof to ruinate	10	7
Which to repair should be thy chief desire	10	8
O change thy thought that I may change my mind	10	9
Shall hate be fairer lodg'd than gentle love	10	10
Be as thy presence is gracious and kind	10	11
Or to thyself at least kind-hearted prove	10	12
Make thee another self for love of me	10	13
That beauty still may live in thine or thee	10	14
As fast as thou shalt wane so fast thou grow'st	11	1
In one of thine from that which thou departest	11	2
And that fresh blood which youngly thou bestow'st	11	3
Thou mayst call thine when thou from youth convertest	11	4
Herein lives wisdom beauty and increase	11	5
Without this folly age and cold decay	11	6
If all were minded so the times should cease	11	7
And threescore year would make the world away	11	8
Let those whom nature hath not made for store	11	9
Harsh featureless and rude barrenly perish	11	10
Look whom she best endow'd she gave thee more	11	11
Which bounteous gift thou shouldst in bounty cherish	11	12
She carv'd thee for her seal and meant thereby	11	13
Thou shouldst print more not let that copy die	11	14
When I do count the clock that tells the time	12	1
And see the brave day sunk in hideous night	12	2
When I behold the violet past prime	12	3
And sable curls all silvered o'er with white	12	4
When lofty trees I see barren of leaves	12	5
Which erst from heat did canopy the herd	12	6
And summer's green all girded up in sheaves	12	7
Borne on the bier with white and bristly beard	12	8
Then of thy beauty do I question make	12	9
That thou among the wastes of time must go	12	10
Since sweets and beauties do themselves forsake	12	11
And die as fast as they see others grow	12	12
And nothing gainst Time's scythe can make defence	12	13
Save breed to brave him when he takes thee hence	12	14
O that you were your self but love you are	13	1
No longer yours than you your self here live	13	2
Against this coming end you should prepare	13	3
And your sweet semblance to some other give	13	4
So should that beauty which you hold in lease	13	5
Find no determination then you were	13	6
Yourself again after yourself's decease	13	7
When your sweet issue your sweet form should bear	13	8
Who lets so fair a house fall to decay	13	9
Which husbandry in honour might uphold	13	10
Against the stormy gusts of winter's day	13	11
And barren rage of death's eternal cold	13	12
O none but unthrifts Dear my love you know	13	13
You had a father let your son say so	13	14
Not from the stars do I my judgement pluck	14	1
And yet methinks I have astronomy	14	2
But not to tell of good or evil luck	14	3
Of plagues of dearths or seasons quality	14	4
Nor can I fortune to brief minutes tell	14	5
Pointing to each his thunder rain and wind	14	6
Or say with princes if it shall go well	14	7
By oft predict that I in heaven find	14	8
But from thine eyes my knowledge I derive	14	9
And constant stars in them I read such art	14	10
As Truth and beauty shall together thrive	14	11
If from thyself to store thou wouldst convert	14	12
Or else of thee this I prognosticate	14	13
Thy end is truth's and beauty's doom and date	14	14
When I consider every thing that grows	15	1
Holds in perfection but a little moment	15	2
That this huge stage presenteth nought but shows	15	3
Whereon the stars in secret influence comment	15	4
When I perceive that men as plants increase	15	5
Cheered and checked even by the self-same sky	15	6
Vaunt in their youthful sap at height decrease	15	7
And wear their brave state out of memory	15	8
Then the conceit of this inconstant stay	15	9
Sets you most rich in youth before my sight	15	10
Where wasteful Time debateth with decay	15	11
To change your day of youth to sullied night	15	12
And all in war with Time for love of you	15	13
As he takes from you I engraft you new	15	14
But wherefore do not you a mightier way	16	1
Make war upon this bloody tyrant Time	16	2
And fortify your self in your decay	16	3
With means more blessed than my barren rhyme	16	4
Now stand you on the top of happy hours	16	5
And many maiden gardens yet unset	16	6
With virtuous wish would bear you living flowers	16	7
Much liker than your painted counterfeit	16	8
So should the lines of life that life repair	16	9
Which this Time's pencil or my pupil pen	16	10
Neither in inward worth nor outward fair	16	11
Can make you live your self in eyes of men	16	12
To give away yourself keeps yourself still	16	13
And you must live drawn by your own sweet skill	16	14
Who will believe my verse in time to come	17	1
If it were fill'd with your most high deserts	17	2
Though yet heaven knows it is but as a tomb	17	3
Which hides your life and shows not half your parts	17	4
If I could write the beauty of your eyes	17	5
And in fresh numbers number all your graces	17	6
The age to come would say This poet lies	17	7
Such heavenly touches ne'er touch'd earthly faces	17	8
So should my papers yellow'd with their age	17	9
Be scorn'd like old men of less truth than tongue	17	10
And your true rights be term'd a poet's rage	17	11
And stretched metre of an antique song	17	12
But were some child of yours alive that time	17	13
You should live twice,--in it and in my rhyme	17	14
Shall I compare thee to a summer's day	18	1
Thou art more lovely and more temperate	18	2
Rough winds do shake the darling buds of May	18	3
And summer's lease hath all too short a date	18	4
Sometime too hot the eye of heaven shines	18	5
And often is his gold complexion dimm'd	18	6
And every fair from fair sometime declines	18	7
By chance or nature's changing course untrimm'd	18	8
But thy eternal summer shall not fade	18	9
Nor lose possession of that fair thou ow'st	18	10
Nor shall death brag thou wander'st in his shade	18	11
When in eternal lines to time thou grow'st	18	12
So long as men can breathe or eyes can see	18	13
So long lives this and this gives life to thee	18	14
Devouring Time blunt thou the lion's paws	19	1
And make the earth devour her own sweet brood	19	2
Pluck the keen teeth from the fierce tiger's jaws	19	3
And burn the long-liv'd phoenix in her blood	19	4
Make glad and sorry seasons as thou fleets	19	5
And do whate'er thou wilt swift-footed Time	19	6
To the wide world and all her fading sweets	19	7
But I forbid thee one most heinous crime	19	8
O carve not with thy hours my love's fair brow	19	9
Nor draw no lines there with thine antique pen	19	10
Him in thy course untainted do allow	19	11
For beauty's pattern to succeeding men	19	12
Yet do thy worst old Time despite thy wrong	19	13
My love shall in my verse ever live young	19	14
A woman's face with nature's own hand painted	20	1
Hast thou the master mistress of my passion	20	2
A woman's gentle heart but not acquainted	20	3
With shifting change as is false women's fashion	20	4
An eye more bright than theirs less false in rolling	20	5
Gilding the object whereupon it gazeth	20	6
A man in hue all hues in his controlling	20	7
Which steals men's eyes and women's souls amazeth	20	8
And for a woman wert thou first created	20	9
Till Nature as she wrought thee fell a-doting	20	10
And by addition me of thee defeated	20	11
By adding one thing to my purpose nothing	20	12
But since she prick'd thee out for women's pleasure	20	13
Mine be thy love and thy love's use their treasure	20	14
So is it not with me as with that Muse	21	1
Stirr'd by a painted beauty to his verse	21	2
Who heaven itself for ornament doth use	21	3
And every fair with his fair doth rehearse	21	4
Making a couplement of proud compare	21	5
With sun and moon with earth and sea's rich gems	21	6
With April's first-born flowers and all things rare	21	7
That heaven's air in this huge rondure hems	21	8
O let me true in love but truly write	21	9
And then believe me my love is as fair	21	10
As any mother's child though not so bright	21	11
As those gold candles fix'd in heaven's air	21	12
Let them say more that like of hearsay well	21	13
I will not praise that purpose not to sell	21	14
My glass shall not persuade me I am old	22	1
So long as youth and thou are of one date	22	2
But when in thee time's furrows I behold	22	3
Then look I death my days should expiate	22	4
For all that beauty that doth cover thee	22	5
Is but the seemly raiment of my heart	22	6
Which in thy breast doth live as thine in me	22	7
How can I then be elder than thou art	22	8
O therefore love be of thyself so wary	22	9
As I not for myself but for thee will	22	10
Bearing thy heart which I will keep so chary	22	11
As tender nurse her babe from faring ill	22	12
Presume not on th;heart when mine is slain	22	13
Thou gav'st me thine not to give back again	22	14
As an unperfect actor on the stage	23	1
Who with his fear is put beside his part	23	2
Or some fierce thing replete with too much rage	23	3
Whose strength's abundance weakens his own heart	23	4
So I for fear of trust forget to say	23	5
The perfect ceremony of love's rite	23	6
And in mine own love's strength seem to decay	23	7
O'ercharg'd with burthen of mine own love's might	23	8
O let my looks be then the eloquence	23	9
And dumb presagers of my speaking breast	23	10
Who plead for love and look for recompense	23	11
More than that tongue that more hath more express'd	23	12
O learn to read what silent love hath writ	23	13
To hear with eyes belongs to love's fine wit	23	14
Mine eye hath play'd the painter and hath stell'd	24	1
Thy beauty's form in table of my heart	24	2
My body is the frame wherein tis held	24	3
And perspective it is best painter's art	24	4
For through the painter must you see his skill	24	5
To find where your true image pictur'd lies	24	6
Which in my bosom's shop is hanging still	24	7
That hath his windows glazed with thine eyes	24	8
Now see what good turns eyes for eyes have done	24	9
Mine eyes have drawn thy shape and thine for me	24	10
Are windows to my breast where-through the sun	24	11
Delights to peep to gaze therein on thee	24	12
Yet eyes this cunning want to grace their art	24	13
They draw but what they see know not the heart	24	14
Let those who are in favour with their stars	25	1
Of public honour and proud titles boast	25	2
Whilst I whom fortune of such triumph bars	25	3
Unlook'd for joy in that I honour most	25	4
Great princes favourites their fair leaves spread	25	5
But as the marigold at the sun's eye	25	6
And in themselves their pride lies buried	25	7
For at a frown they in their glory die	25	8
The painful warrior famoused for fight	25	9
After a thousand victories once foil'd	25	10
Is from the book of honour razed quite	25	11
And all the rest forgot for which he toil'd	25	12
Then happy I that love and am belov'd	25	13
Where I may not remove nor be remov'd	25	14
Lord of my love to whom in vassalage	26	1
Thy merit hath my duty strongly knit	26	2
To thee I send this written embassage	26	3
To witness duty not to show my wit	26	4
Duty so great which wit so poor as mine	26	5
May make seem bare in wanting words to show it	26	6
But that I hope some good conceit of thine	26	7
In thy soul's thought all naked will bestow it	26	8
Till whatsoever star that guides my moving	26	9
Points on me graciously with fair aspect	26	10
And puts apparel on my tatter'd loving	26	11
To show me worthy of thy sweet respect	26	12
Then may I dare to boast how I do love thee	26	13
Till then not show my head where thou mayst prove me	26	14
Weary with toil I haste me to my bed	27	1
The dear respose for limbs with travel tir'd	27	2
But then begins a journey in my head	27	3
To work my mind when body's work's expired	27	4
For then my thoughts--from far where I abide	27	5
Intend a zealous pilgrimage to thee	27	6
And keep my drooping eyelids open wide	27	7
Looking on darkness which the blind do see	27	8
Save that my soul's imaginary sight	27	9
Presents thy shadow to my sightless view	27	10
Which like a jewel hung in ghastly night	27	11
Makes black night beauteous and her old face new	27	12
Lo thus by day my limbs by night my mind	27	13
For thee and for myself no quiet find	27	14
How can I then return in happy plight	28	1
That am debarre'd the benefit of rest	28	2
When day's oppression is not eas'd by night	28	3
But day by night and night by day oppress'd	28	4
And each though enemies to either's reign	28	5
Do in consent shake hands to torture me	28	6
The one by toil the other to complain	28	7
How far I toil still farther off from thee	28	8
I tell the day to please him thou art bright	28	9
And dost him grace when clouds do blot the heaven	28	10
So flatter I the swart-complexion'd night	28	11
When sparkling stars twire not thou gild'st the even	28	12
But day doth daily draw my sorrows longer	28	13
And night doth nightly make grief's length seem stronger	28	14
When in disgrace with fortune and men's eyes	29	1
I all alone beweep my outcast state	29	2
And trouble deaf heaven with my bootless cries	29	3
And look upon myself and curse my fate	29	4
Wishing me like to one more rich in hope	29	5
Featur'd like him like him with friends possess'd	29	6
Desiring this man's art and that man's scope	29	7
With what I most enjoy contented least	29	8
Yet in these thoughts my self almost despising	29	9
Haply I think on thee and then my state	29	10
Like to the lark at break of day arising	29	11
From sullen earth sings hymns at heaven's gate	29	12
For thy sweet love remember'd such wealth brings	29	13
That then I scorn to change my state with kings	29	14
When to the sessions of sweet silent thought	30	1
I summon up remembrance of things past	30	2
I sigh the lack of many a thing I sought	30	3
And with old woes new wail my dear time's waste	30	4
Then can I drown an eye unused to flow	30	5
For precious friends hid in death's dateless night	30	6
And weep afresh love's long since cancell'd woe	30	7
And moan the expense of many a vanish'd sight	30	8
Then can I grieve at grievances foregone	30	9
And heavily from woe to woe tell o'er	30	10
The sad account of fore-bemoaned moan	30	11
Which I new pay as if not paid before	30	12
But if the while I think on thee dear friend	30	13
All losses are restor'd and sorrows end	30	14
Thy bosom is endeared with all hearts	31	1
Which I by lacking have supposed dead	31	2
And there reigns Love and all Love's loving parts	31	3
And all those friends which I thought buried	31	4
How many a holy and obsequious tear	31	5
Hath dear religious love stol'n from mine eye	31	6
As interest of the dead which now appear	31	7
But things remov'd that hidden in thee lie	31	8
Thou art the grave where buried love doth live	31	9
Hung with the trophies of my lovers gone	31	10
Who all their parts of me to thee did give	31	11
That due of many now is thine alone	31	12
Their images I lov'd I view in thee	31	13
And thou--all they--hast all the all of me	31	14
If thou survive my well-contented day	32	1
When that churl Death my bones with dust shall cover	32	2
And shalt by fortune once more re-survey	32	3
These poor rude lines of thy deceased lover	32	4
Compare them with the bett'ring of the time	32	5
And though they be outstripp'd by every pen	32	6
Reserve them for my love not for their rhyme	32	7
Exceeded by the height of happier men	32	8
O then vouchsafe me but this loving thought	32	9
Had my friend's Muse grown with this growing age	32	10
A dearer birth than this his love had brought	32	11
To march in ranks of better equipage	32	12
But since he died and poets better prove	32	13
Theirs for their style I'll read his for his love	32	14
Full many a glorious morning have I seen	33	1
Flatter the mountain tops with sovereign eye	33	2
Kissing with golden face the meadows green	33	3
Gilding pale streams with heavenly alchemy	33	4
Anon permit the basest clouds to ride	33	5
With ugly rack on his celestial face	33	6
And from the forlorn world his visage hide	33	7
Stealing unseen to west with this disgrace	33	8
Even so my sun one early morn did shine	33	9
With all triumphant splendour on my brow	33	10
But out alack he was but one hour mine	33	11
The region cloud hath mask'd him from me now	33	12
Yet him for this my love no whit disdaineth	33	13
Suns of the world may stain when heaven's sun staineth	33	14
Why didst thou promise such a beauteous day	34	1
And make me travel forth without my cloak	34	2
To let base clouds o'ertake me in my way	34	3
Hiding thy bravery in their rotten smoke	34	4
Tis not enough that through the cloud thou break	34	5
To dry the rain on my storm-beaten face	34	6
For no man well of such a salve can speak	34	7
That heals the wound and cures not the disgrace	34	8
Nor can thy shame give physic to my grief	34	9
Though thou repent yet I have still the loss	34	10
The offender's sorrow lends but weak relief	34	11
To him that bears the strong offence's cross	34	12
Ah but those tears are pearl which thy love sheds	34	13
And they are rich and ransom all ill deeds	34	14
No more be griev'd at that which thou hast done	35	1
Roses have thorns and silver fountains mud	35	2
Clouds and eclipses stain both moon and sun	35	3
And loathsome canker lives in sweetest bud	35	4
All men make faults and even I in this	35	5
Authorizing thy trespass with compare	35	6
Myself corrupting salving thy amiss	35	7
Excusing thy sins more than thy sins are	35	8
For to thy sensual fault I bring in sense	35	9
Thy adverse party is thy advocate	35	10
And gainst myself a lawful plea commence	35	11
Such civil war is in my love and hate	35	12
That I an accessary needs must be	35	13
To that sweet thief which sourly robs from me	35	14
Let me confess that we two must be twain	36	1
Although our undivided loves are one	36	2
So shall those blots that do with me remain	36	3
Without thy help by me be borne alone	36	4
In our two loves there is but one respect	36	5
Though in our lives a separable spite	36	6
Which though it alter not love's sole effect	36	7
Yet doth it steal sweet hours from love's delight	36	8
I may not evermore acknowledge thee	36	9
Lest my bewailed guilt should do thee shame	36	10
Nor thou with public kindness honour me	36	11
Unless thou take that honour from thy name	36	12
But do not so I love thee in such sort	36	13
As thou being mine mine is thy good report	36	14
As a decrepit father takes delight	37	1
To see his active child do deeds of youth	37	2
So I made lame by Fortune's dearest spite	37	3
Take all my comfort of thy worth and truth	37	4
For whether beauty birth or wealth or wit	37	5
Or any of these all or all or more	37	6
Entitled in thy parts do crowned sit	37	7
I make my love engrafted to this store	37	8
So then I am not lame poor nor despis'd	37	9
Whilst that this shadow doth such substance give	37	10
That I in thy abundance am suffic'd	37	11
And by a part of all thy glory live	37	12
Look what is best that best I wish in thee	37	13
This wish I have then ten times happy me	37	14
How can my muse want subject to invent	38	1
While thou dost breathe that pour'st into my verse	38	2
Thine own sweet argument too excellent	38	3
For every vulgar paper to rehearse	38	4
O give thy self the thanks if aught in me	38	5
Worthy perusal stand against thy sight	38	6
For who's so dumb that cannot write to thee	38	7
When thou thy self dost give invention light	38	8
Be thou the tenth Muse ten times more in worth	38	9
Than those old nine which rhymers invocate	38	10
And he that calls on thee let him bring forth	38	11
Eternal numbers to outlive long date	38	12
If my slight muse do please these curious days	38	13
The pain be mine but thine shall be the praise	38	14
O how thy worth with manners may I sing	39	1
When thou art all the better part of me	39	2
What can mine own praise to mine own self bring	39	3
And what is't but mine own when I praise thee	39	4
Even for this let us divided live	39	5
And our dear love lose name of single one	39	6
That by this separation I may give	39	7
That due to thee which thou deserv'st alone	39	8
O absence what a torment wouldst thou prove	39	9
Were it not thy sour leisure gave sweet leave	39	10
To entertain the time with thoughts of love	39	11
Which time and thoughts so sweetly doth deceive	39	12
And that thou teachest how to make one twain	39	13
By praising him here who doth hence remain	39	14
Take all my loves my love yea take them all	40	1
What hast thou then more than thou hadst before	40	2
No love my love that thou mayst true love call	40	3
All mine was thine before thou hadst this more	40	4
Then if for my love thou my love receivest	40	5
I cannot blame thee for my love thou usest	40	6
But yet be blam'd if thou thy self deceivest	40	7
By wilful taste of what thyself refusest	40	8
I do forgive thy robbery gentle thief	40	9
Although thou steal thee all my poverty	40	10
And yet love knows it is a greater grief	40	11
To bear love's wrong than hate's known injury	40	12
Lascivious grace in whom all ill well shows	40	13
Kill me with spites yet we must not be foes	40	14
Those pretty wrongs that liberty commits	41	1
When I am sometime absent from thy heart	41	2
Thy beauty and thy years full well befits	41	3
For still temptation follows where thou art	41	4
Gentle thou art and therefore to be won	41	5
Beauteous thou art therefore to be assail'd	41	6
And when a woman woos what woman's son	41	7
Will sourly leave her till he have prevail'd	41	8
Ay me but yet thou mightst my seat forbear	41	9
And chide thy beauty and thy straying youth	41	10
Who lead thee in their riot even there	41	11
Where thou art forced to break a twofold truth	41	12
Hers by thy beauty tempting her to thee	41	13
Thine by thy beauty being false to me	41	14
That thou hast her it is not all my grief	42	1
And yet it may be said I loved her dearly	42	2
That she hath thee is of my wailing chief	42	3
A loss in love that touches me more nearly	42	4
Loving offenders thus I will excuse ye	42	5
Thou dost love her because thou know'st I love her	42	6
And for my sake even so doth she abuse me	42	7
Suffering my friend for my sake to approve her	42	8
If I lose thee my loss is my love's gain	42	9
And losing her my friend hath found that loss	42	10
Both find each other and I lose both twain	42	11
And both for my sake lay on me this cross	42	12
But here's the joy my friend and I are one	42	13
Sweet flattery then she loves but me alone	42	14
When most I wink then do mine eyes best see	43	1
For all the day they view things unrespected	43	2
But when I sleep in dreams they look on thee	43	3
And darkly bright are bright in dark directed	43	4
Then thou whose shadow shadows doth make bright	43	5
How would thy shadow's form form happy show	43	6
To the clear day with thy much clearer light	43	7
When to unseeing eyes thy shade shines so	43	8
How would I say mine eyes be blessed made	43	9
By looking on thee in the living day	43	10
When in dead night thy fair imperfect shade	43	11
Through heavy sleep on sightless eyes doth stay	43	12
All days are nights to see till I see thee	43	13
And nights bright days when dreams do show thee me	43	14
If the dull substance of my flesh were thought	44	1
Injurious distance should not stop my way	44	2
For then despite of space I would be brought	44	3
From limits far remote where thou dost stay	44	4
No matter then although my foot did stand	44	5
Upon the farthest earth remov'd from thee	44	6
For nimble thought can jump both sea and land	44	7
As soon as think the place where he would be	44	8
But ah thought kills me that I am not thought	44	9
To leap large lengths of miles when thou art gone	44	10
But that so much of earth and water wrought	44	11
I must attend time's leisure with my moan	44	12
Receiving nought by elements so slow	44	13
But heavy tears badges of either's woe	44	14
The other two slight air and purging fire	45	1
Are both with thee wherever I abide	45	2
The first my thought the other my desire	45	3
These present-absent with swift motion slide	45	4
For when these quicker elements are gone	45	5
In tender embassy of love to thee	45	6
My life being made of four with two alone	45	7
Sinks down to death oppress'd with melancholy	45	8
Until life's composition be recur'd	45	9
By those swift messengers return'd from thee	45	10
Who even but now come back again assur'd	45	11
Of thy fair health recounting it to me	45	12
This told I joy but then no longer glad	45	13
I send them back again and straight grow sad	45	14
Mine eye and heart are at a mortal war	46	1
How to divide the conquest of thy sight	46	2
Mine eye my heart thy picture's sight would bar	46	3
My heart mine eye the freedom of that right	46	4
My heart doth plead that thou in him dost lie	46	5
A closet never pierc'd with crystal eyes	46	6
But the defendant doth that plea deny	46	7
And says in him thy fair appearance lies	46	8
To side this title is impannelled	46	9
A quest of thoughts all tenants to the heart	46	10
And by their verdict is determined	46	11
The clear eye's moiety and the dear heart's part	46	12
As thus mine eye's due is thy outward part	46	13
And my heart's right thy inward love of heart	46	14
Betwixt mine eye and heart a league is took	47	1
And each doth good turns now unto the other	47	2
When that mine eye is famish'd for a look	47	3
Or heart in love with sighs himself doth smother	47	4
With my love's picture then my eye doth feast	47	5
And to the painted banquet bids my heart	47	6
Another time mine eye is my heart's guest	47	7
And in his thoughts of love doth share a part	47	8
So either by thy picture or my love	47	9
Thy self away art present still with me	47	10
For thou not farther than my thoughts canst move	47	11
And I am still with them and they with thee	47	12
Or if they sleep thy picture in my sight	47	13
Awakes my heart to heart's and eye's delight	47	14
How careful was I when I took my way	48	1
Each trifle under truest bars to thrust	48	2
That to my use it might unused stay	48	3
From hands of falsehood in sure wards of trust	48	4
But thou to whom my jewels trifles are	48	5
Most worthy comfort now my greatest grief	48	6
Thou best of dearest and mine only care	48	7
Art left the prey of every vulgar thief	48	8
Thee have I not lock'd up in any chest	48	9
Save where thou art not though I feel thou art	48	10
Within the gentle closure of my breast	48	11
From whence at pleasure thou mayst come and part	48	12
And even thence thou wilt be stol'n I fear	48	13
For truth proves thievish for a prize so dear	48	14
Against that time if ever that time come	49	1
When I shall see thee frown on my defects	49	2
When as thy love hath cast his utmost sum	49	3
Call'd to that audit by advis'd respects	49	4
Against that time when thou shalt strangely pass	49	5
And scarcely greet me with that sun thine eye	49	6
When love converted from the thing it was	49	7
Shall reasons find of settled gravity	49	8
Against that time do I ensconce me here	49	9
Within the knowledge of mine own desert	49	10
And this my hand against my self uprear	49	11
To guard the lawful reasons on thy part	49	12
To leave poor me thou hast the strength of laws	49	13
Since why to love I can allege no cause	49	14
How heavy do I journey on the way	50	1
When what I seek my weary travel's end	50	2
Doth teach that ease and that repose to say	50	3
Thus far the miles are measured from thy friend	50	4
The beast that bears me tired with my woe	50	5
Plods dully on to bear that weight in me	50	6
As if by some instinct the wretch did know	50	7
His rider lov'd not speed being made from thee	50	8
The bloody spur cannot provoke him on	50	9
That sometimes anger thrusts into his hide	50	10
Which heavily he answers with a groan	50	11
More sharp to me than spurring to his side	50	12
For that same groan doth put this in my mind	50	13
My grief lies onward and my joy behind	50	14
Thus can my love excuse the slow offence	51	1
Of my dull bearer when from thee I speed	51	2
From where thou art why should I haste me thence	51	3
Till I return of posting is no need	51	4
O what excuse will my poor beast then find	51	5
When swift extremity can seem but slow	51	6
Then should I spur though mounted on the wind	51	7
In winged speed n:motion shall I know	51	8
Then can no horse with my desire keep pace	51	9
Therefore desire of perfect'st love being made	51	10
Shall neigh--no dull flesh--in his fiery race	51	11
But love for love thus shall excuse my jade	51	12
Since from thee going he went wilful-slow	51	13
Towards thee I'll run and give him leave to go	51	14
So am I as the rich whose blessed key	52	1
Can bring him to his sweet up-locked treasure	52	2
The which he will not every hour survey	52	3
For blunting the fine point of seldom pleasure	52	4
Therefore are feasts so solemn and so rare	52	5
Since seldom coming in that long year set	52	6
Like stones of worth they thinly placed are	52	7
Or captain jewels in the carcanet	52	8
So is the time that keeps you as my chest	52	9
Or as the wardrobe which the robe doth hide	52	10
To make some special instant special-blest	52	11
By new unfolding his imprison'd pride	52	12
Blessed are you whose worthiness gives scope	52	13
Being had to triumph being lacked to hope	52	14
What is your substance whereof are you made	53	1
That millions of strange shadows on you tend	53	2
Since every one hath every one one shade	53	3
And you but one can every shadow lend	53	4
Describe Adonis and the counterfeit	53	5
Is poorly imitated after you	53	6
On Helen's cheek all art of beauty set	53	7
And you in Grecian tires are painted new	53	8
Speak of the spring and foison of the year	53	9
The one doth shadow of your beauty show	53	10
The other as your bounty doth appear	53	11
And you in every blessed shape we know	53	12
